date,day,n2_underground,n2_rock_winder,n3_underground,n3_decline,gloria_underground,gloria_decline,seam2_feed,seam2_product,seam1_feed,seam1_product,gloria_plant_feed,gloria_plant_product
2025-10-01,2025-10-01 00:00:00,6678.334561532793,6741.140215716489,8060.058953574061,3984.655552278679,3872.7902314561675,3792.229841940439,7019.881595691708,6458.291068036371,3984.655552278684,3665.8831080963887,0.0,0.0
2025-10-02,2025-10-02 00:00:00,6678.334561532793,5296.610169491527,8060.058953574061,7969.311104557358,3872.7902314561675,3792.229841940439,5515.62125375777,5074.371553457148,7969.311104557368,7331.766216192777,4562.335809252017,4242.972302604376
2025-10-03,2025-10-03 00:00:00,6678.334561532793,6741.140215716489,8060.058953574061,7969.311104557358,3872.7902314561675,3792.229841940439,7019.881595691708,6458.291068036371,7969.311104557368,7331.766216192777,4562.335809252017,4242.972302604376
2025-10-04,2025-10-04 00:00:00,0.0,1605.0333846944022,0.0,7969.311104557358,0.0,0.0,1671.4003799265972,1537.6883495324694,7969.311104557368,7331.766216192777,4562.335809252017,4242.972302604376
2025-10-05,2025-10-05 00:00:00,0.0,1605.0333846944022,0.0,0.0,0.0,0.0,1671.4003799265972,1537.6883495324694,0.0,0.0,0.0,0.0
2025-10-06,2025-10-06 00:00:00,6678.334561532793,5296.610169491527,8060.058953574061,5502.619572194366,3872.7902314561675,3792.229841940439,3677.0808358385134,3382.914368971432,5502.619572194373,5062.410006418823,1738.0326892388637,1616.3704009921432
2025-10-07,2025-10-07 00:00:00,6678.334561532793,6741.140215716489,8060.058953574061,7969.311104557358,3872.7902314561675,3792.229841940439,7019.881595691708,6458.291068036371,7969.311104557368,7331.766216192777,4562.335809252017,4242.972302604376
2025-10-08,2025-10-08 00:00:00,6678.334561532793,6741.140215716489,8060.058953574061,3984.655552278679,3872.7902314561675,3792.229841940439,7019.881595691708,6458.291068036371,3984.655552278684,3665.8831080963887,0.0,0.0
2025-10-09,2025-10-09 00:00:00,6678.334561532793,5296.610169491527,8060.058953574061,7969.311104557358,3872.7902314561675,3792.229841940439,5515.62125375777,5074.371553457148,7969.311104557368,7331.766216192777,4562.335809252017,4242.972302604376
2025-10-10,2025-10-10 00:00:00,6678.334561532793,6741.140215716489,8060.058953574061,7969.311104557358,3872.7902314561675,3792.229841940439,7019.881595691708,6458.291068036371,7969.311104557368,7331.766216192777,4562.335809252017,4242.972302604376
2025-10-11,2025-10-11 00:00:00,0.0,1605.0333846944022,0.0,7969.311104557358,0.0,0.0,1671.4003799265972,1537.6883495324694,7969.311104557368,7331.766216192777,4562.335809252017,4242.972302604376
2025-10-12,2025-10-12 00:00:00,0.0,1605.0333846944022,0.0,0.0,0.0,0.0,1671.4003799265972,1537.6883495324694,0.0,0.0,0.0,0.0
2025-10-13,2025-10-13 00:00:00,6678.334561532793,4975.603492552647,8060.058953574061,5502.619572194366,3872.7902314561675,3792.229841940439,3677.0808358385134,3382.914368971432,5502.619572194373,5062.410006418823,1738.0326892388637,1616.3704009921432
2025-10-14,2025-10-14 00:00:00,6678.334561532793,6741.140215716489,8060.058953574061,7969.311104557358,3872.7902314561675,3792.229841940439,7019.881595691708,6458.291068036371,7969.311104557368,7331.766216192777,4562.335809252017,4242.972302604376
2025-10-15,2025-10-15 00:00:00,6678.334561532793,6741.140215716489,8060.058953574061,3984.655552278679,3872.7902314561675,3792.229841940439,7019.881595691708,6458.291068036371,3984.655552278684,3665.8831080963887,0.0,0.0
2025-10-16,2025-10-16 00:00:00,6678.334561532793,5296.610169491527,8060.058953574061,7969.311104557358,3872.7902314561675,3792.229841940439,5515.62125375777,5074.371553457148,7969.311104557368,7331.766216192777,4562.335809252017,4242.972302604376
2025-10-17,2025-10-17 00:00:00,6678.334561532793,6741.140215716489,8060.058953574061,7969.311104557358,3872.7902314561675,3792.229841940439,7019.881595691708,6458.291068036371,7969.311104557368,7331.766216192777,4562.335809252017,4242.972302604376
2025-10-18,2025-10-18 00:00:00,0.0,1605.0333846944022,0.0,7969.311104557358,0.0,0.0,1671.4003799265972,1537.6883495324694,7969.311104557368,7331.766216192777,4562.335809252017,4242.972302604376
2025-10-19,2025-10-19 00:00:00,0.0,1605.0333846944022,0.0,0.0,0.0,0.0,1671.4003799265972,1537.6883495324694,0.0,0.0,0.0,0.0
2025-10-20,2025-10-20 00:00:00,6678.334561532793,4975.603492552647,8060.058953574061,5502.619572194366,3872.7902314561675,3792.229841940439,3677.0808358385134,3382.914368971432,5502.619572194373,5062.410006418823,1738.0326892388637,1616.3704009921432
2025-10-21,2025-10-21 00:00:00,6678.334561532793,6741.140215716489,8060.058953574061,7969.311104557358,3872.7902314561675,3792.229841940439,7019.881595691708,6458.291068036371,7969.311104557368,7331.766216192777,4562.335809252017,4242.972302604376
2025-10-22,2025-10-22 00:00:00,6678.334561532793,6741.140215716489,8060.058953574061,3984.655552278679,3872.7902314561675,3792.229841940439,7019.881595691708,6458.291068036371,3984.655552278684,3665.8831080963887,0.0,0.0
2025-10-23,2025-10-23 00:00:00,6678.334561532793,6741.140215716489,8060.058953574061,7969.311104557358,3872.7902314561675,3792.229841940439,7019.881595691708,6458.291068036371,7969.311104557368,7331.766216192777,4562.335809252017,4242.972302604376
2025-10-24,2025-10-24 00:00:00,6678.334561532793,4975.603492552647,8060.058953574061,7969.311104557358,3872.7902314561675,3792.229841940439,5181.3411777724505,4766.833883550654,7969.311104557368,7331.766216192777,4562.335809252017,4242.972302604376
