Equipment,Friday,Monday,Tuesday,Wednesday,Thursday,Average,Breakdowns - Comments
DT,91.0%,97.0%,99.0%,90.0%,91.0%,93.6%,
FL,74.0%,100.0%,100.0%,90.0%,84.0%,89.6%,
HD,82.0%,96.0%,100.0%,96.0%,95.0%,93.8%,
RT,98.0%,100.0%,95.0%,94.0%,98.0%,97.0%,
SR,97.0%,100.0%,100.0%,99.0%,83.0%,95.8%,
