Day,Date,Feed Rate,Feed Rate Target,Actual Rate,Tons Hoisted,Hours to Hoist,Delays (Hours)
Friday,45968,671.78,523.00,,,,95.00
Saturday,45969,0.00,523.00,,,,95.00
Sunday,45970,715.11,523.00,,,,95.00
Monday,45971,706.73,523.00,,,,95.00
Tuesday,45972,510.06,523.00,,,,95.00
Wednesday,45973,610.29,523.00,,,,95.00
Thursday,45974,647.81,523.00,,,,95.00
Week Average,45971,551.68,523.00,,,,95.00
