Equipment,Friday,Monday,Tuesday,Wednesday,Thursday,Average,Breakdowns - Comments
HD,87.0%,98.0%,87.0%,92.0%,94.0%,91.6%,
RT,85.0%,54.0%,56.0%,45.0%,47.0%,57.4%,1133
SR,93.0%,91.0%,96.0%,76.0%,72.0%,85.6%,"RT0037 Transmission oil leak and decided to replace the transmission,RT0046 fail to start,RT0060 Motor oil leak and was replaced,RT0045 drilling plug tripping due overload was not set 250mA"
DT Diesel,73.0%,74.0%,90.0%,94.0%,90.0%,84.2%,"FL0081 Not starting,FL0083 Lights"
FL Diesel,97.0%,86.0%,76.0%,91.0%,100.0%,90.0%,"SR0037 Exhaust,Starter and shovel,SR0040 Windscreen damaged,SR0052 Tail wheel braket broken"
Average,,,,,,81.8%,
